category;name;value;status;type;condition;provinsi;kabupaten/kota;latitude;longitude;year;potential
Buildings;Warehousing/Logistics;6468967176;Not Used/Abandoned;Hospitals/Health Centers;Heavily Damaged;Jawa Timur;Kabupaten Sidoarjo;-7.5360639;112.2384017;2016;711586389
Buildings;Agricultural Land;13608656641;Used as Per Procedure;Public Facilities (Parks, Fields);Slightly Damaged;Banten;Kabupaten Tangerang;-6.4058172;106.0640179;2016;0
Buildings;School/University Buildings;94144639031;Used for Functional Vehicles;School/University Buildings;Slightly Damaged;Bali;Kabupaten Badung;-8.4095178;115.188916;2016;0
Buildings;Monuments or Historical Buildings;43917490564;Used as Per Procedure;Sports Facilities (Stadiums, Sports Fields);Needs Repair;Nusa Tenggara Barat;Kabupaten Lombok Barat;-8.6529334;117.3616476;2016;0
Buildings;Government Office Buildings;41909865694;Not Used/Abandoned;Monuments or Historical Buildings;Needs Repair;Nusa Tenggara Timur;Kabupaten Kupang;-8.6573819;121.0793705;2016;4190986569
Land;Agricultural Land;2414575211;Used as Per Procedure;School/University Buildings;Well Maintained;Kalimantan Barat;Kabupaten Pontianak;-0.2787808;111.4752851;2016;0
Buildings;Public Facilities (Parks, Fields);41179739780;Used by Others;Official Residence;Well Maintained;Kalimantan Tengah;Kabupaten Palangkaraya;-1.6814878;113.3823545;2016;0
Land;School/University Buildings;72700785381;Used for Functional Vehicles;Vacant Non-Utilized Land;Needs Repair;Kalimantan Selatan;Kabupaten Banjar;-3.0926415;115.2837585;2016;0
Land;Government Office Buildings;68717550582;Used as Per Procedure;Hospitals/Health Centers;Slightly Damaged;Kalimantan Timur;Kabupaten Kutai Kartanegara;1.6406296;116.419389;2016;0
Buildings;Public Facilities (Parks, Fields);100434019591;Used for Functional Vehicles;Monuments or Historical Buildings;Well Maintained;Sulawesi Utara;Kabupaten Minahasa;0.6246932;123.9750018;2016;0
Buildings;Hospitals/Health Centers;73820186291;Used by Others;Agricultural Land;Well Maintained;Sulawesi Tengah;Kabupaten Donggala;-1.4300254;121.4456179;2016;0
Land;Hospitals/Health Centers;35611860110;Not Used/Abandoned;Warehousing/Logistics;Heavily Damaged;Sulawesi Selatan;Kabupaten Luwu;-3.6687994;119.9740534;2016;5341779017
Land;Government Office Buildings;34747865936;Operational Use;Vacant Non-Utilized Land;Slightly Damaged;Sulawesi Tenggara;Kabupaten Kolaka;-4.14491;122.174605;2016;0
Land;Monuments or Historical Buildings;91568993800;Operational Use;Government Office Buildings;Heavily Damaged;Gorontalo;Kabupaten Gorontalo;0.6999372;122.4467238;2016;0
Land;Agricultural Land;85249217025;Operational Use;School/University Buildings;Well Maintained;Sulawesi Barat;Kabupaten Majene;-2.8441371;119.2320784;2016;0
Buildings;Monuments or Historical Buildings;30894522782;Used as Per Procedure;Plantation Land;Well Maintained;Maluku;Kabupaten Maluku Tengah;-3.2384616;130.1452734;2016;0
Land;Hospitals/Health Centers;78449963708;Used as Per Procedure;Vacant Non-Utilized Land;Well Maintained;Maluku Utara;Kabupaten Halmahera;1.5709993;127.8087693;2016;0
Buildings;Official Residence;61708977655;Used as Per Procedure;Hospitals/Health Centers;Well Maintained;Papua Barat;Kabupaten Manokwari;-1.3361154;133.1747162;2016;0
Land;Public Facilities (Parks, Fields);43916682066;Used for Functional Vehicles;Warehousing/Logistics;Needs Repair;Papua;Kabupaten Jayapura;-4.269928;138.0803529;2016;0
Buildings;Sports Facilities (Stadiums, Sports Fields);58333620408;Not Used;Government Office Buildings;Slightly Damaged;Banten;Kota Tangerang Selatan;-6.2888889;106.7180556;2016;8166706857
Land;Warehousing/Logistics;9365843655;Used for Functional Vehicles;Public Facilities (Parks, Fields);Slightly Damaged;Jawa Timur;Kabupaten Banyuwangi;-8.2186111;114.3669444;2016;0
Land;Agricultural Land;73148066393;Operational Use;Hospitals/Health Centers;Slightly Damaged;Jawa Timur;Kabupaten Madiun;-7.627753;111.505483;2016;0
Buildings;Warehousing/Logistics;3256425059;Not Used;Government Office Buildings;Slightly Damaged;Jawa Timur;Kabupaten Ponorogo;-7.867827;111.466003;2016;423335258
Land;School/University Buildings;97719428802;Used by Others;Official Residence;Heavily Damaged;Jawa Timur;Kabupaten Magetan;-7.6493413;111.3381593;2016;0
Land;Official Residence;74954712406;Not Used;Hospitals/Health Centers;Heavily Damaged;Jawa Timur;Kabupaten Pacitan;-8.204614;111.08769;2016;8245018365
Buildings;Public Facilities (Parks, Fields);97942169666;Used by Others;Warehousing/Logistics;Heavily Damaged;Jawa Timur;Kabupaten Ngawi;-7.38993;111.46193;2016;0
Buildings;Vacant Non-Utilized Land;132694145;Used as Per Procedure;Plantation Land;Well Maintained;Jawa Timur;Kabupaten Bangkalan;-7.0306912;112.7450068;2016;0
Land;Agricultural Land;102986387683;Operational Use;Public Facilities (Parks, Fields);Needs Repair;Jawa Timur;Kabupaten Kediri;-7.809356;112.032356;2016;0
Buildings;Warehousing/Logistics;105303703425;Used as Per Procedure;Plantation Land;Slightly Damaged;Jawa Timur;Kabupaten Bondowoso;-7.917704;113.813483;2016;0
Land;Warehousing/Logistics;87503641138;Used for Functional Vehicles;Vacant Non-Utilized Land;Needs Repair;Jawa Timur;Kabupaten Blitar;-8.1014419;112.162762;2016;0
Land;Warehousing/Logistics;109014136934;Not Used/Abandoned;Official Residence;Slightly Damaged;Jawa Timur;Kabupaten Trenggalek;-8.05;111.7166667;2016;14171837801
Land;Official Residence;39033957674;Used as Per Procedure;Monuments or Historical Buildings;Slightly Damaged;Jawa Timur;Kabupaten Tulungagung;-8.0666667;111.9;2016;0
Land;Official Residence;93219945229;Used as Per Procedure;School/University Buildings;Heavily Damaged;Jawa Timur;Kabupaten Nganjuk;-7.602932;111.901808;2016;0
Land;Vacant Non-Utilized Land;84685646756;Not Used;Sports Facilities (Stadiums, Sports Fields);Well Maintained;Jawa Timur;Kabupaten Situbondo;-7.702534;113.955605;2016;11009134078
Buildings;Sports Facilities (Stadiums, Sports Fields);79175240873;Used by Others;Agricultural Land;Well Maintained;Jawa Timur;Kabupaten Malang;-8.0495643;112.6884549;2016;0
Land;Warehousing/Logistics;69602853242;Operational Use;Official Residence;Needs Repair;Jawa Timur;Kabupaten Jember;-8.172357;113.700302;2016;0
Buildings;Hospitals/Health Centers;33776056454;Used as Per Procedure;Monuments or Historical Buildings;Well Maintained;Jawa Timur;Kabupaten Sumenep;-6.9253999;113.9060624;2016;0
Land;Monuments or Historical Buildings;59038961330;Used as Per Procedure;School/University Buildings;Heavily Damaged;Jawa Timur;Kabupaten Pasuruan;-6.8623098;108.8001936;2016;0
Land;Public Facilities (Parks, Fields);30171707671;Used by Others;Monuments or Historical Buildings;Slightly Damaged;Jawa Timur;Kabupaten Pamekasan;-7.1666667;113.4666667;2016;0
Land;Public Facilities (Parks, Fields);954892580;Used for Functional Vehicles;Vacant Non-Utilized Land;Needs Repair;Jawa Timur;Kabupaten Probolinggo;-7.753965;113.210675;2016;0
Land;Plantation Land;2741053648;Used for Functional Vehicles;Plantation Land;Heavily Damaged;Jawa Timur;Kabupaten Lumajang;-8.137022;113.226601;2016;0
Buildings;Agricultural Land;15854892663;Not Used;Agricultural Land;Slightly Damaged;Jawa Timur;Kabupaten Bojonegoro;0.882681;124.4669566;2016;2061136046
Land;Vacant Non-Utilized Land;56454541425;Used by Others;Vacant Non-Utilized Land;Well Maintained;Jawa Timur;Kabupaten Tuban;-8.7493146;115.1711298;2016;0
Buildings;Plantation Land;24466789995;Used as Per Procedure;Public Facilities (Parks, Fields);Needs Repair;Jawa Timur;Kabupaten Lamongan;-7.406153;109.3946794;2016;0
Buildings;Agricultural Land;40601413211;Used for Functional Vehicles;Official Residence;Needs Repair;Jawa Timur;Kabupaten Sidoarjo;-7.4530278;112.7173389;2016;0
Land;Public Facilities (Parks, Fields);6055468875;Used for Functional Vehicles;Hospitals/Health Centers;Slightly Damaged;Jawa Timur;Kabupaten Sampang;-7.5782556;109.2058436;2016;0
Land;Warehousing/Logistics;100126994432;Operational Use;Official Residence;Well Maintained;Jawa Timur;Kabupaten Mojokerto;-7.488075;112.427027;2016;0
Buildings;Vacant Non-Utilized Land;97243030379;Operational Use;Government Office Buildings;Needs Repair;Jawa Timur;Kabupaten Gresik;-7.15665;112.6555;2016;0
Land;Agricultural Land;98597384092;Not Used/Abandoned;Monuments or Historical Buildings;Well Maintained;Jawa Timur;Kabupaten Jombang;-7.5468395;112.2264794;2016;14789607614
Buildings;Agricultural Land;36502830081;Not Used;Public Facilities (Parks, Fields);Well Maintained;Jawa Timur;Kota Mojokerto;-7.4722222;112.4336111;2016;4380339610
Land;Official Residence;78340041051;Used for Functional Vehicles;Sports Facilities (Stadiums, Sports Fields);Slightly Damaged;Jawa Timur;Kota Surabaya;-7.289166;112.734398;2016;0
Buildings;Government Office Buildings;46914720856;Used for Functional Vehicles;Warehousing/Logistics;Heavily Damaged;Jawa Timur;Kota Madiun;-7.629714;111.513702;2016;0
Buildings;Sports Facilities (Stadiums, Sports Fields);33151507870;Used by Others;Warehousing/Logistics;Well Maintained;Jawa Timur;Kota Blitar;-8.1;112.15;2016;0
Buildings;Vacant Non-Utilized Land;7737101469;Operational Use;School/University Buildings;Needs Repair;Jawa Timur;Kota Malang;-7.981894;112.626503;2016;0
Buildings;Warehousing/Logistics;46354428517;Operational Use;Agricultural Land;Needs Repair;Jawa Timur;Kota Batu;-7.8671;112.5239;2016;0
Buildings;Public Facilities (Parks, Fields);42670539843;Used for Functional Vehicles;Hospitals/Health Centers;Needs Repair;Jawa Timur;Kota Pasuruan;-7.644872;112.903297;2016;0
Land;School/University Buildings;17624860344;Not Used;Sports Facilities (Stadiums, Sports Fields);Needs Repair;Jawa Timur;Kota Kediri;-7.816895;112.011398;2016;1938734638
Land;Hospitals/Health Centers;38482561131;Used for Functional Vehicles;Hospitals/Health Centers;Slightly Damaged;Jawa Timur;Kota Probolinggo;-7.756928;113.211502;2016;0
Buildings;Public Facilities (Parks, Fields);10507200698;Used as Per Procedure;Vacant Non-Utilized Land;Well Maintained;Jambi;Kabupaten Batanghari;-1.7083922;103.0817903;2016;0
Buildings;Plantation Land;95721192067;Operational Use;Agricultural Land;Slightly Damaged;Jambi;Kabupaten Bungo;-1.6401338;101.8891721;2016;0
Buildings;Monuments or Historical Buildings;73358559495;Operational Use;Warehousing/Logistics;Heavily Damaged;Jambi;Kabupaten Kerinci;-1.8720467;101.4339148;2016;0
Land;Sports Facilities (Stadiums, Sports Fields);21176834831;Used by Others;Warehousing/Logistics;Well Maintained;Jambi;Kabupaten Merangin;-2.1752789;101.9804613;2016;0
Land;Agricultural Land;100884629094;Not Used;Monuments or Historical Buildings;Well Maintained;Jambi;Kabupaten Muaro Jambi;-1.596672;103.615799;2016;10088462909
Buildings;Warehousing/Logistics;63698294898;Used by Others;Sports Facilities (Stadiums, Sports Fields);Well Maintained;Jambi;Kabupaten Sarolangun;-2.2654937;102.6905326;2016;0
Land;Vacant Non-Utilized Land;50096447025;Operational Use;Hospitals/Health Centers;Heavily Damaged;Jambi;Kabupaten Tanjung Jabung Barat;-1.2332122;103.7984428;2016;0
Buildings;Official Residence;70584888486;Not Used/Abandoned;Plantation Land;Slightly Damaged;Jambi;Kabupaten Tanjung Jabung Timur;-1.3291599;103.89973;2016;8470186618
Buildings;Sports Facilities (Stadiums, Sports Fields);27913588814;Not Used;Public Facilities (Parks, Fields);Well Maintained;Jambi;Kabupaten Tebo;-1.2592999;102.3463875;2016;3070494770
Land;Public Facilities (Parks, Fields);60555389291;Used for Functional Vehicles;Sports Facilities (Stadiums, Sports Fields);Well Maintained;Jambi;Kota Jambi;-1.596672;103.615799;2016;0
Buildings;Monuments or Historical Buildings;14494202255;Used for Functional Vehicles;Official Residence;Needs Repair;Jambi;Kota Sungai Penuh;-2.06314;101.387199;2016;0
Land;School/University Buildings;22033722841;Not Used/Abandoned;School/University Buildings;Heavily Damaged;Aceh;Kabupaten Simeulue;2.583333;96.083333;2016;3084721198
Land;School/University Buildings;56486928861;Not Used;Sports Facilities (Stadiums, Sports Fields);Needs Repair;Aceh;Kabupaten Aceh Singkil;2.3589459;97.87216;2016;7343300752
Land;Agricultural Land;10713070619;Used as Per Procedure;Government Office Buildings;Needs Repair;Aceh;Kabupaten Aceh Selatan;3.3115056;97.3516558;2016;0
Land;Government Office Buildings;93606031954;Used for Functional Vehicles;School/University Buildings;Slightly Damaged;Aceh;Kabupaten Aceh Tenggara;3.3088666;97.6982272;2016;0
Land;Sports Facilities (Stadiums, Sports Fields);43464374691;Used by Others;Hospitals/Health Centers;Needs Repair;Aceh;Kabupaten Aceh Timur;5.255443;95.9885456;2016;0
Land;Hospitals/Health Centers;25611780874;Used for Functional Vehicles;School/University Buildings;Heavily Damaged;Aceh;Kabupaten Aceh Tengah;4.4482641;96.8350999;2016;0
Buildings;Warehousing/Logistics;64330264148;Used for Functional Vehicles;Government Office Buildings;Heavily Damaged;Aceh;Kabupaten Aceh Barat;4.4542745;96.1526985;2016;0
Land;Government Office Buildings;82066192035;Used as Per Procedure;Vacant Non-Utilized Land;Well Maintained;Aceh;Kabupaten Aceh Besar;5.4529168;95.4777811;2016;0
Land;Public Facilities (Parks, Fields);66918776927;Used for Functional Vehicles;Warehousing/Logistics;Slightly Damaged;Aceh;Kabupaten Pidie;5.0742659;95.940971;2016;0
Buildings;School/University Buildings;63624706367;Used by Others;Plantation Land;Well Maintained;Aceh;Kabupaten Bireuen;5.18254;96.89005;2016;0
Buildings;Public Facilities (Parks, Fields);18691416444;Used by Others;Hospitals/Health Centers;Needs Repair;Aceh;Kabupaten Aceh Utara;4.9786331;97.2221421;2016;0
Land;Hospitals/Health Centers;75420964884;Not Used/Abandoned;Hospitals/Health Centers;Well Maintained;Aceh;Kabupaten Aceh Barat Daya;3.0512643;97.3368031;2016;8296306137
Buildings;Warehousing/Logistics;107335967270;Used by Others;Sports Facilities (Stadiums, Sports Fields);Heavily Damaged;Aceh;Kabupaten Gayo Lues;3.955165;97.3516558;2016;0
Buildings;Government Office Buildings;66875338572;Not Used/Abandoned;Agricultural Land;Heavily Damaged;Aceh;Kabupaten Aceh Tamiang;4.2328871;98.0028892;2016;8693794014
Land;Public Facilities (Parks, Fields);36083954851;Operational Use;Official Residence;Needs Repair;Aceh;Kabupaten Nagan Raya;4.1248406;96.4929797;2016;0
Land;Official Residence;88203908901;Used for Functional Vehicles;School/University Buildings;Well Maintained;Aceh;Kabupaten Aceh Jaya;4.7873684;95.6457951;2016;0
Buildings;School/University Buildings;91903947755;Used for Functional Vehicles;Official Residence;Heavily Damaged;Aceh;Kabupaten Bener Meriah;4.7748348;97.0068393;2016;0
Land;Monuments or Historical Buildings;45633079941;Not Used;Vacant Non-Utilized Land;Heavily Damaged;Aceh;Kabupaten Pidie Jaya;5.1548063;96.195132;2016;4563307994
Buildings;Public Facilities (Parks, Fields);45669156784;Used as Per Procedure;Agricultural Land;Slightly Damaged;Aceh;Kota Banda Aceh;5.55;95.3166667;2016;0
Buildings;Government Office Buildings;102920267909;Operational Use;Warehousing/Logistics;Well Maintained;Aceh;Kota Sabang;5.8946929;95.3192982;2016;0
Land;School/University Buildings;79357266233;Not Used/Abandoned;Vacant Non-Utilized Land;Well Maintained;Aceh;Kota Langsa;4.48;97.9633333;2016;11110017273
Buildings;School/University Buildings;3615366554;Used for Functional Vehicles;Agricultural Land;Slightly Damaged;Aceh;Kota Lhokseumawe;5.1880556;97.1402778;2016;0
Buildings;Sports Facilities (Stadiums, Sports Fields);46805114278;Used by Others;Monuments or Historical Buildings;Heavily Damaged;Aceh;Kota Subulussalam;2.6449927;98.0165205;2016;0
Buildings;Official Residence;10317603404;Operational Use;Official Residence;Slightly Damaged;Sumatera Utara;Kabupaten Nias;-8.1712591;113.7111274;2016;0
Land;Sports Facilities (Stadiums, Sports Fields);107527798371;Operational Use;Public Facilities (Parks, Fields);Slightly Damaged;Sumatera Utara;Kabupaten Mandailing Natal;0.7432372;99.3673084;2016;0
Land;Public Facilities (Parks, Fields);63207281837;Not Used/Abandoned;Monuments or Historical Buildings;Slightly Damaged;Sumatera Utara;Kabupaten Tapanuli Selatan;1.5774933;99.2785583;2016;6952801002
Buildings;Hospitals/Health Centers;70730633282;Used by Others;Public Facilities (Parks, Fields);Heavily Damaged;Sumatera Utara;Kabupaten Tapanuli Tengah;1.8493299;98.704075;2016;0
Land;Monuments or Historical Buildings;40049019814;Not Used;Official Residence;Needs Repair;Sumatera Utara;Kabupaten Tapanuli Utara;2.0405246;99.1013498;2016;4805882378
Buildings;Vacant Non-Utilized Land;73371919697;Not Used/Abandoned;Sports Facilities (Stadiums, Sports Fields);Needs Repair;Sumatera Utara;Kabupaten Toba Samosir;2.3502398;99.2785583;2016;8070911167
Buildings;Public Facilities (Parks, Fields);62837097383;Used for Functional Vehicles;Plantation Land;Needs Repair;Sumatera Utara;Kabupaten Labuhanbatu;2.3439863;100.1703257;2016;0
Buildings;Plantation Land;85126173869;Used as Per Procedure;School/University Buildings;Slightly Damaged;Sumatera Utara;Kabupaten Asahan;2.8174722;99.634135;2016;0
Buildings;Government Office Buildings;98907815860;Not Used;Warehousing/Logistics;Needs Repair;Sumatera Utara;Kabupaten Simalungun;2.9781612;99.2785583;2016;10879859745
Buildings;Official Residence;44427264504;Used as Per Procedure;Plantation Land;Well Maintained;Sumatera Utara;Kabupaten Dairi;2.8675801;98.265058;2016;0
Land;Public Facilities (Parks, Fields);98385090545;Not Used/Abandoned;Warehousing/Logistics;Needs Repair;Sumatera Utara;Kabupaten Karo;3.1052909;98.265058;2016;9838509055
Buildings;Vacant Non-Utilized Land;7151595212;Used as Per Procedure;Plantation Land;Heavily Damaged;Sumatera Utara;Kabupaten Deli Serdang;3.4201802;98.704075;2016;0
Land;Official Residence;75323752986;Used for Functional Vehicles;Official Residence;Slightly Damaged;Sumatera Utara;Kabupaten Langkat;3.8653916;98.3088441;2016;0
Buildings;Public Facilities (Parks, Fields);25391156471;Operational Use;Agricultural Land;Slightly Damaged;Sumatera Utara;Kabupaten Nias Selatan;0.7086091;97.8286368;2016;0
Land;Hospitals/Health Centers;59213621289;Used by Others;School/University Buildings;Needs Repair;Sumatera Utara;Kabupaten Humbang Hasundutan;2.1988508;98.5721016;2016;0
Land;Agricultural Land;84945028395;Used as Per Procedure;School/University Buildings;Slightly Damaged;Sumatera Utara;Kabupaten Pakpak Bharat;2.545786;98.299838;2016;0
Land;Monuments or Historical Buildings;82038491808;Not Used;Sports Facilities (Stadiums, Sports Fields);Slightly Damaged;Sumatera Utara;Kabupaten Samosir;2.5833333;98.8166667;2016;10665003935
Land;Plantation Land;79274422348;Used for Functional Vehicles;Official Residence;Slightly Damaged;Sumatera Utara;Kabupaten Serdang Bedagai;3.3371694;99.0571089;2016;0
Land;Monuments or Historical Buildings;53062595945;Used for Functional Vehicles;Official Residence;Slightly Damaged;Sumatera Utara;Kabupaten Batu Bara;3.1740979;99.5006143;2016;0
Buildings;Warehousing/Logistics;21320217184;Not Used/Abandoned;Vacant Non-Utilized Land;Well Maintained;Sumatera Utara;Kabupaten Padang Lawas Utara;1.5758644;99.634135;2016;2132021718
Land;Monuments or Historical Buildings;22588676647;Not Used;School/University Buildings;Heavily Damaged;Sumatera Utara;Kabupaten Padang Lawas;1.1186977;99.8124935;2016;2484754431
Land;Agricultural Land;58839984840;Used as Per Procedure;Government Office Buildings;Well Maintained;Sumatera Utara;Kota Sibolga;1.7403745;98.7827988;2016;0
Land;Public Facilities (Parks, Fields);48109264370;Used as Per Procedure;Public Facilities (Parks, Fields);Needs Repair;Sumatera Utara;Kota Tanjung Balai;2.965122;99.800331;2016;0
Land;Plantation Land;107136856470;Used as Per Procedure;Hospitals/Health Centers;Needs Repair;Sumatera Utara;Kota Pematang Siantar;2.96;99.06;2016;0
Buildings;Warehousing/Logistics;33056068228;Not Used;Official Residence;Slightly Damaged;Sumatera Utara;Kota Tebing Tinggi;3.3856205;99.2009815;2016;4627849552
Land;Monuments or Historical Buildings;8677616669;Used as Per Procedure;Plantation Land;Slightly Damaged;Sumatera Utara;Kota Medan;3.585242;98.6755979;2016;0
Land;Government Office Buildings;79873060531;Not Used;Official Residence;Needs Repair;Sumatera Utara;Kota Binjai;3.594462;98.482246;2016;10383497869
Buildings;Warehousing/Logistics;107184582002;Used for Functional Vehicles;Vacant Non-Utilized Land;Slightly Damaged;Sumatera Utara;Kota Padangsidimpuan;1.380424;99.273972;2016;0
Buildings;Monuments or Historical Buildings;85939972192;Not Used;School/University Buildings;Well Maintained;Sumatera Barat;Kabupaten Kepulauan Mentawai;-1.426001;98.9245343;2016;9453396941
Land;Warehousing/Logistics;27146588705;Used by Others;Agricultural Land;Slightly Damaged;Sumatera Barat;Kabupaten Pesisir Selatan;-1.7223147;100.8903099;2016;0
Buildings;Agricultural Land;4017507691;Operational Use;Government Office Buildings;Well Maintained;Sumatera Barat;Kabupaten Solok;-0.803027;100.644402;2016;0
Buildings;Plantation Land;44714658565;Operational Use;Vacant Non-Utilized Land;Heavily Damaged;Sumatera Barat;Kabupaten Sijunjung;-0.6881586;100.997658;2016;0
Buildings;Government Office Buildings;96451736263;Used by Others;Public Facilities (Parks, Fields);Well Maintained;Sumatera Barat;Kabupaten Tanah Datar;-0.4797043;100.5746224;2016;0
Buildings;Plantation Land;47469681722;Not Used;Plantation Land;Needs Repair;Sumatera Barat;Kabupaten Padang Pariaman;-0.5546757;100.2151578;2016;6645755441
Land;Public Facilities (Parks, Fields);31216834358;Not Used/Abandoned;Public Facilities (Parks, Fields);Needs Repair;Sumatera Barat;Kabupaten Agam;-0.2209392;100.1703257;2016;4682525154
Land;Monuments or Historical Buildings;102775744569;Operational Use;Plantation Land;Needs Repair;Sumatera Barat;Kabupaten Lima Puluh Kota;3.168216;99.4187929;2016;0
Buildings;Vacant Non-Utilized Land;84860483557;Used by Others;Public Facilities (Parks, Fields);Well Maintained;Sumatera Barat;Kabupaten Pasaman;0.1288752;99.7901781;2016;0
Buildings;Government Office Buildings;67138315684;Not Used/Abandoned;Government Office Buildings;Heavily Damaged;Sumatera Barat;Kabupaten Solok Selatan;-1.4157329;101.2523792;2016;9399364196
Land;Vacant Non-Utilized Land;294170228;Used as Per Procedure;Government Office Buildings;Needs Repair;Sumatera Barat;Kabupaten Dharmas Raya;-1.1120568;101.6157773;2016;0
Buildings;Hospitals/Health Centers;102358527073;Used by Others;Agricultural Land;Slightly Damaged;Sumatera Barat;Kabupaten Pasaman Barat;0.2213005;99.634135;2016;0
Land;Hospitals/Health Centers;74044686229;Operational Use;Warehousing/Logistics;Well Maintained;Sumatera Barat;Kota Padang;-0.95;100.3530556;2016;0
Land;Plantation Land;24665572767;Not Used;Hospitals/Health Centers;Heavily Damaged;Sumatera Barat;Kota Solok;-0.803027;100.644402;2016;2466557277
Land;Vacant Non-Utilized Land;2719994662;Not Used;Vacant Non-Utilized Land;Well Maintained;Sumatera Barat;Kota Sawah Lunto;-0.6810286;100.7763604;2016;271999466
Land;Public Facilities (Parks, Fields);820656869;Not Used;Government Office Buildings;Well Maintained;Sumatera Barat;Kota Padang Panjang;-0.470679;100.4059456;2016;123098530
Buildings;Hospitals/Health Centers;101907725396;Operational Use;Official Residence;Heavily Damaged;Sumatera Barat;Kota Bukittinggi;-0.3055556;100.3691667;2016;0
Buildings;Official Residence;76167167527;Used as Per Procedure;Official Residence;Well Maintained;Sumatera Barat;Kota Payakumbuh;-0.22887;100.632301;2016;0
Buildings;Vacant Non-Utilized Land;77485210512;Not Used;Hospitals/Health Centers;Needs Repair;Sumatera Barat;Kota Pariaman;-0.6264389;100.1179574;2016;7748521051
Land;Sports Facilities (Stadiums, Sports Fields);65498663150;Not Used/Abandoned;Warehousing/Logistics;Heavily Damaged;Riau;Kabupaten Kuantan Singingi;-0.4411596;101.5248055;2016;7204852947
Buildings;Official Residence;59034195524;Used for Functional Vehicles;Warehousing/Logistics;Well Maintained;Riau;Kabupaten Indragiri Hulu;-0.7361181;102.2547919;2016;0
Land;Vacant Non-Utilized Land;50061297320;Used as Per Procedure;Vacant Non-Utilized Land;Slightly Damaged;Riau;Kabupaten Indragiri Hilir;-0.1456733;102.989615;2016;0
Land;Government Office Buildings;65952292934;Not Used/Abandoned;School/University Buildings;Heavily Damaged;Riau;Kabupaten Pelalawan;0.441415;102.088699;2016;6595229293
Land;Hospitals/Health Centers;71873860763;Used by Others;Agricultural Land;Slightly Damaged;Riau;Kabupaten S I A K;-0.789275;113.921327;2016;0
Buildings;School/University Buildings;40991514548;Used for Functional Vehicles;Vacant Non-Utilized Land;Well Maintained;Riau;Kabupaten Kampar;0.146671;101.1617356;2016;0
Land;Monuments or Historical Buildings;73428959305;Used as Per Procedure;Plantation Land;Slightly Damaged;Riau;Kabupaten Rokan Hulu;1.0410934;100.439656;2016;0
Buildings;Hospitals/Health Centers;50204816749;Operational Use;Hospitals/Health Centers;Heavily Damaged;Riau;Kabupaten Bengkalis;1.4897222;102.0797222;2016;0
Buildings;School/University Buildings;9347575149;Used for Functional Vehicles;Sports Facilities (Stadiums, Sports Fields);Well Maintained;Riau;Kabupaten Rokan Hilir;1.6463978;100.8000051;2016;0
Land;Plantation Land;25622321791;Used as Per Procedure;Plantation Land;Heavily Damaged;Riau;Kota Pekanbaru;0.5333333;101.45;2016;0
